TIMESTAMP,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
2020-01-22,20MICRONS,EQ,35.15,35.35,33.35,33.5,33.4,34.25,34294,1158811.3,1029,INE144J01027
2020-01-22,21STCENMGM,EQ,15.0,15.3,14.7,15.2,15.2,15.0,255,3801.35,16,INE253B01015
2020-01-22,3IINFOTECH,EQ,2.45,2.5,2.4,2.4,2.45,2.45,900368,2207499.4,569,INE748C01020
2020-01-22,3MINDIA,EQ,22115.0,22310.0,22065.15,22258.95,22310.0,22119.65,966,21454679.6,418,INE470A01017
2020-01-22,3PLAND,EQ,7.05,7.25,7.05,7.1,7.1,7.0,1641,11780.7,9,INE105C01023
2020-01-22,5PAISA,EQ,198.0,198.0,189.0,191.05,189.0,197.05,8548,1650990.65,306,INE618L01018
2020-01-22,63MOONS,EQ,113.1,113.7,110.1,110.5,110.55,112.25,134233,14961173.75,2682,INE111B01023
2020-01-22,A2ZINFRA,EQ,7.7,7.85,7.55,7.6,7.6,7.6,147810,1132458.75,293,INE619I01012
2020-01-22,AAKASH,SM,66.65,66.65,66.6,66.6,66.6,70.1,12000,799500.0,6,INE087Z01016
2020-01-22,AARON,SM,46.5,46.5,46.5,46.5,46.5,49.5,3300,153450.0,1,INE721Z01010
2020-01-22,AARTIDRUGS,EQ,613.0,623.2,606.05,607.4,606.1,610.25,6260,3836659.9,527,INE767A01016
2020-01-22,AARTIIND,EQ,869.0,870.95,854.0,860.7,858.0,864.7,66415,57288453.7,3056,INE769A01020
2020-01-22,AARVEEDEN,EQ,14.0,15.2,13.95,14.5,14.5,14.35,11581,167141.7,126,INE273D01019
2020-01-22,AAVAS,EQ,1967.0,1973.8,1933.7,1944.6,1941.0,1957.65,28383,55353310.15,3697,INE216P01012
2020-01-22,ABAN,EQ,26.3,26.5,26.0,26.2,26.05,26.3,36172,950411.75,468,INE421A01028
2020-01-22,ABB,EQ,1315.0,1315.35,1295.0,1303.3,1304.55,1310.15,14625,19082906.8,1351,INE117A01022
2020-01-22,ABBOTINDIA,EQ,12715.25,12798.55,12595.0,12702.2,12686.0,12713.15,3491,44318247.7,1241,INE358A01014
2020-01-22,ABCAPITAL,EQ,107.0,109.5,106.6,107.0,107.1,106.2,1963642,211824476.45,24958,INE674K01013
